키워드 API 서비스,wmp-keyword.wonders.work
Center 시스템 Private API,mc-papi.wonders.app
파트너 Admin 예약관리 마스킹 처리 관련,tour-admin-api.wonders.app
v-crawling-batch,v-crawling-batch.wemakeprice.com
v-order-api,v-order-api.wemakeprice.com
escrow-api,escrow-api.wemakeprice.com
shortcut-api(서비스 미사용),shortcut-api.wemakeprice.com
deal-api,deal-api.wemakeprice.com
front-api,wfront-api.wemakeprice.com
assist-api,assist-api.wemakeprice.com
제휴(원더쇼핑) 상품 어드민 API,ep-prodadm-api.wonders.work
wticket-global-onestop-api,gonestop-api.wemakeprice.com
wtciket-global-api,gticket-api.wemakeprice.com
wticket-global-member-api,gtm.wemakeprice.com
shortcut-web,www.wmp.co.kr
위메프 패션 PAPI 서비스 (인스턴스 종료 및 삭제 진행 예정),fashion-papi.wd.wemakeprice.com
위메프 패션 어드민 서비스 (인스턴스 종료 및 삭제 진행 예정),fashion-admin.wonders.work
user-api,user-api.wemakeprice.com
위메프 패션 API 서비스 (인스턴스 종료 및 삭제 진행 예정),fashion-api.wd.wemakeprice.com
위메프 패션 서비스 (인스턴스 종료 및 삭제 진행 예정),fashion.wd.wemakeprice.com
admin-api,admin-api.wemakeprice.com
review-api,wreview-api.wemakeprice.com
delivery-api,delivery-api-perf.wemakeprice.com
fdeal-api,fdeal-api.wemakeprice.com
wpay-token-api,wpay-token-api.wemakeprice.com
mypage-api,mypage-api.wemakeprice.com
v-share,v-share.wemakeprice.com
v-employee,v-employee-api.wemakeprice.com
신규 front-web 적용 건에 대한 보안성 검토,wgw-front.wemakeprice.com
위메프 투어 항공 예약관련 API,api-air.wonders.app
위메프투어 인벤토리 서비스,inventory-api.wonders.app
위메프투어 쿠폰 서비스,coupon-api.wonders.app
챗봇 시나리오 관리자 및 CTI API 서버,mgmt-wmantis.wemakeprice.com
WM정산-서비스,wms-bo.wonders.app
"WM정산-API(도메인,SAPGW,PG등연동)",wms-ext-api.wonders.app
"위메프오 front, API G/W",api.wmpo.co.kr
"위메프오 front, API G/W",api.thecupping.co.kr
"위메프오 front, API G/W",www.wmpo.co.kr
"위메프오 front, API G/W",www.thecupping.co.kr
위메프오 파트너즈,partner.wmpo.co.kr
위메프오 파트너즈,partner.thecupping.co.kr
위메프오 ADMIN,admin.wmpo.co.kr
위메프오 ADMIN,admin2.wmpo.co.kr
위메프오 ADMIN,agency.wmpo.co.kr
위메프오 Storage API,api-storage.wmpo.co.kr
위메프오 Storage API,storage.wmpo.co.kr
위메프오 POS,pos.thecupping.co.kr
위메프오 Board API,api-board.wmpo.co.kr
위메프오 Delivery API,api-delivery.wmpo.co.kr
위메프오Exchange API,exchange.wmpo.co.kr
위메프오Exchange API,exchange.thecupping.co.kr
위메프오 Banner API,api-banner.wmpo.co.kr
위메프오 Curator API,api-curator.wmpo.co.kr
위메프오 Ticket API,api-ticket.wmpo.co.kr
위메프오 Event API,api-event.wmpo.co.kr
위메프오 외부연동 API,api-external.wmpo.co.kr
위메프오 Auth API,auth.wmpo.co.kr
위메프오 Socket API,15.165.129.155
위메프오 Socket API,54.180.150.33
위메프오 Socket API,52.78.16.149
위메프오플러스 FRONT,sales.wmpoplus.com
위메프오플러스 API,sales-api.wmpoplus.com
위메프오플러스 ADMIN,sales-admin.wmpoplus.com
상품 카테고리 매핑 API,vc.inch.me
W스타일 검색/리스팅 API,fashion-search.wonders.work
화상회의시스템,meeting.wemakeprice.kr
이벤트페이지,sales-event.wemakeprice.com
front-app-web,app.wemakeprice.com
static-web,s.wemep.co.kr
view-server,view.wemep.co.kr
msearch,msearch.wemakeprice.com
appext,appext.wemakeprice.com
w-gateway,w-gateway.wemakeprice.com/
prerender,prerender.wemakeprice.com
shipping-api,shipping-api-perf.wemakeprice.com
partner-api,partner-api.wemakeprice.com
upload-api,upload-api.wemakeprice.com
board-api,board-api.wemakeprice.com
authority-api,authority-api.wemakeprice.com
promotion-api,promotion-api.wemakeprice.com
settle-api,settle-api.wemakeprice.com
cryptokey-api,cryptokey-api.wemakeprice.com
mail-api,mail-api.wemakeprice.com
message-api,message-api.wemakeprice.com
config-api,wconfig-api.wemakeprice.com
sap-api,sap-api.wemakeprice.com
coupon-api,coupon-api.wemakeprice.com
w-api,wapi.wemakeprice.com
point-api,point-api-perf.wemakeprice.com
dealsearch-api,dealsearch-api.wemakeprice.com
wms-api,wms-api.wemakeprice.com
wmp-search-api,wsearch-api.wemakeprice.com
paydoc-api,paydoc-api.wemakeprice.com
facebook-api,facebook-api.wemakeprice.com
auth-api,auth-api.wemakeprice.com
app-api,app-api.wemakeprice.com
extservice-api,extservice-api.wemakeprice.com?
benefit-api,benefit-api.wemakeprice.com
out-settle-api (선정산 내부연동 시스템),out-settle-api.wemakeprice.com
out-settle-api (선정산 외부연동 시스템),out-settle-api-x.wemakeprice.com
wmp-outsettle-api(선정산 서울보증보험 단독서버),10.105.3.254
discount-api,discount-api.wemakeprice.com
sticker-api,sticker-api.wemakeprice.com
paymentalarm-api,paymentalarm-api.wemakeprice.com
escrowadmin-api,escrowadmin-api.wemakeprice.com
escrowext-api,escroext-api.wemakeprice.com
mart-api,mart-api.wemakeprice.com
lightweight-user-api,lightweight-user-api.wemakeprice.com/
material-api,material-api.wemakeprice.com/
spass-api,spass-api.wemakeprice.com/
w-oauth2,w-oauth2.wemakeprice.com/
service-gateway-extension,servicegw-ext.wemakeprice.com
Report 시스템 API,rs-api.wonders.work
Partner 시스템 API,ps-api.wonders.work
Point 시스템 API,pts-api.wonders.work
앱트레킹 및 로그수집,wmp-cloudapps.wemakeprice.com
광고 로그 수집 API,adcenter-api.wemakeprice.com
광고 내부 API,ad-internal-api.wemakeprice.com
추천서비스 External Gateway,wmars-client.wemakeprice.com
위메프 통합검색 API,wmp-search.wonders.work
WSIN CMS API,wsin-catalog-admin-api.wonders.work
WSIN 통계 API,wsin-catalog-admin-stats-api.wonders.work
WSIN 검색특가 API,wsin-catalog-wmp-api.wonders.work
WSIN-API-GW,wsin-api-gw.wonders.work
W우체통 SYSTEM API 서버,wondertalk-sapi.wemakeprice.com
W우체통 관리자 API 서버,wt-adminapi.wemakeprice.com
v-boa-api,v-boa-api.wemakeprice.com
v-cms-api,v-cms-api.wemakeprice.com
v-front-api,v-front-api.wemakeprice.com
v-app-api,v-app-api.wemakeprice.com
v-mypage,v-mypage-api.wemakeprice.com
v-seller-api,v-seller-api.wemakeprice.com
v-search-api,v-search-api.wemakeprice.com
v-message-api,v-message-api.wemakeprice.com
v-content-api,v-content-api.wemakeprice.com
v-content-batch,v-content-batch.wemakeprice.com
v-user-api,v-user-api.wemakeprice.com
v-shipping-api,v-shipping-api.wemakeprice.com
v-benefit-api,v-benefit-api.wemakeprice.com
v-claim-api,v-claim-api.wemakeprice.com
v-review-api,v-review-api.wemakeprice.com
v-search-provider-api,v-search-provider.wemakeprice.com
w-member-api,wmember-api.wemakeprice.com
추천 컨텐츠 반환 API,34.96.112.120
추천상품 메타 데이타 제공,gaia-web-stg.wemakeprice.com